filename	n_seqs	n_bases	min_length	max_length	mean_quality
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_2.fastq.gz	4000	1470602	136	3181	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_3.fastq.gz	4000	1465656	135	2565	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_7.fastq.gz	4000	1446204	131	2657	10.97
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104407_barcode26/FAO12621_pass_barcode26_1505ef04_2.fastq.gz	4000	1445538	131	4441	11.09
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104407_barcode26/FAO12621_pass_barcode26_1505ef04_1.fastq.gz	4000	1474116	132	5770	11.09
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104407_barcode26/FAO12621_pass_barcode26_1505ef04_0.fastq.gz	4000	1425667	125	3870	11.23
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_0.fastq.gz	4000	1348739	132	2692	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_1.fastq.gz	4000	1364647	120	3090	10.87
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_2.fastq.gz	4000	1352707	136	1083	10.82
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_5.fastq.gz	4000	1359042	125	1323	10.88
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_3.fastq.gz	4000	1351128	140	582	10.86
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_6.fastq.gz	4000	1340671	133	1782	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5199025_barcode14/FAO12621_pass_barcode14_1505ef04_4.fastq.gz	4000	1345976	135	1103	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_0.fastq.gz	4000	1391113	123	4267	11.09
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_2.fastq.gz	4000	1393906	104	2712	10.87
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_3.fastq.gz	4000	1395849	127	5940	10.93
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_4.fastq.gz	4000	1383756	132	5560	10.95
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_5.fastq.gz	4000	1386851	110	4079	11.03
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/834572_barcode41/FAO12621_pass_barcode41_1505ef04_1.fastq.gz	4000	1395956	111	10534	10.93
